Time,X,Y,Z
0.011483,2.473149,-3.971973,-8.053484
0.021348,2.828102,-4.3588,-8.561672
0.035474,3.158364,-4.778997,-8.919318
0.041567,2.661101,-4.967847,-8.990099
0.0523,0.757493,-3.823078,-8.940119
0.062246,0.015862,-3.632732,-8.126959
0.072322,0.196182,-3.661913,-7.526142
0.082297,1.08551,-3.929025,-7.453266
0.092273,1.963016,-4.447388,-8.004701
0.102261,2.463721,-4.978022,-8.825342
0.112277,2.744601,-5.296762,-9.496341
0.122271,2.821667,-5.80899,-9.159345
0.132311,0.672046,-5.60323,-8.93548
0.141525,-0.396853,-4.689361,-8.088201
0.152328,-0.501454,-4.76119,-7.487385
0.162278,0.065095,-4.875966,-7.698082
0.172231,1.097032,-5.13425,-8.413076
0.182309,1.712364,-5.372631,-8.96885
0.192305,1.965261,-5.042069,-9.045018
0.202388,1.497627,-5.105668,-8.781497
0.212067,0.790414,-5.527362,-8.860808
0.222271,0.453717,-5.653959,-8.78015
0.231425,0.583458,-5.159689,-8.645921
0.24158,0.9848,-4.340992,-8.126211
0.252398,1.385993,-4.151544,-7.733398
0.262243,1.540724,-4.707318,-8.034629
0.272334,1.464855,-5.277009,-8.74678
0.282385,1.191607,-5.604727,-8.946553
0.291853,0.924344,-5.252019,-8.428639
0.30187,0.727714,-4.633694,-7.790113
0.315008,0.780238,-4.229808,-7.373955
0.321689,1.233357,-4.242078,-7.473318
0.332167,1.85662,-4.807729,-8.030289
0.341587,1.82295,-5.462566,-8.67121
0.352263,1.214652,-5.698104,-8.852428
0.362298,0.557121,-5.362904,-8.53309
0.372271,0.10909,-4.715997,-8.040764
0.382345,0.24302,-4.494526,-7.589142
0.392275,0.891124,-4.605711,-7.566396
0.402312,1.697699,-4.910384,-8.227818
0.412162,2.228782,-5.13425,-9.022123
0.422309,2.228782,-5.323249,-9.249431
0.432284,2.048612,-5.294966,-9.179847
0.441492,1.787335,-5.144425,-9.189274
0.451945,1.137735,-5.003162,-9.123132
0.462276,0.564752,-4.63938,-8.57484
0.471441,0.32697,-4.318995,-7.810314
0.482464,1.302791,-4.817306,-7.812709
0.492291,1.715656,-5.107613,-7.99647
0.502265,1.988455,-5.173007,-8.127408
0.512956,2.231625,-5.290477,-8.384494
0.522301,2.038885,-5.426353,-8.690813
0.532386,1.320449,-5.25576,-8.942662
0.541613,0.652294,-4.717344,-8.995038
0.552252,0.441596,-4.134036,-8.255652
0.561497,1.167514,-4.296548,-8.057824
0.571837,1.988755,-5.111653,-9.043372
0.582317,2.292231,-5.611012,-9.912798
0.59235,1.52965,-5.435032,-9.826005
0.602265,0.388623,-4.667364,-9.000724
0.612078,0.042798,-4.066846,-8.29007
0.622302,0.925991,-4.315403,-8.580227
0.631785,1.766685,-4.910384,-9.550363
0.641589,1.854824,-5.419619,-10.201908
0.652601,1.653555,-5.47334,-10.333594
0.661427,0.851169,-5.186475,-10.25548
0.672318,-0.49023,-4.735002,-9.836031
0.682263,-1.475031,-4.215591,-8.902708
0.692287,-1.331523,-3.911667,-8.291716
0.702306,-0.581961,-3.981849,-8.055729
0.712046,0.200671,-4.479711,-7.873763
0.722315,0.847278,-4.958718,-7.740281
0.732352,1.464855,-5.135147,-7.734296
0.741578,1.90271,-5.246931,-7.68641
0.752306,1.996686,-5.305142,-7.7952
0.762283,2.040382,-5.18857,-8.022209
0.772307,1.871435,-5.023364,-8.39901
0.78236,1.551199,-4.873571,-8.584567
0.792857,1.214652,-4.638033,-8.364891
0.80193,0.922399,-4.382443,-8.210759
0.812003,0.707063,-4.461305,-8.088949
0.822248,0.751507,-4.801893,-8.06351
0.832256,0.961456,-5.078882,-7.879599
0.841578,1.066805,-5.189168,-7.836951
0.852306,0.953974,-4.988198,-7.720229
0.86153,0.958164,-4.245819,-7.652142
0.872578,1.411881,-3.496856,-8.15599
0.88286,2.541985,-4.193594,-9.512503
0.902384,0.437855,-2.848304,-8.690664
0.912202,-0.186156,-1.718051,-8.469791
0.922303,-0.377848,-2.123882,-7.270851
0.933956,0.832613,-4.782289,-6.741265
0.941555,2.147376,-6.722111,-7.741179
0.952263,2.954401,-6.335284,-8.326582
0.961723,3.746012,-4.263477,-9.160692
0.972304,3.589635,-3.928427,-9.930605
0.981305,4.616485,-3.243062,-9.329938
0.992289,3.55402,-2.871798,-8.520969
1.003286,2.442472,-2.476142,-7.111332
1.013798,1.585617,-2.123733,-6.690686
1.022106,0.949634,-2.275171,-6.195218
1.032326,2.191371,-3.073516,-6.868312
1.041475,2.948565,-3.386121,-6.354887
1.052295,2.710034,-2.645388,-6.260762
1.062699,2.594958,-2.157702,-6.056349
1.07364,2.913548,-2.135405,-6.301165
1.082234,2.346102,-1.99474,-6.825664
1.092297,2.562935,-1.63874,-7.101456
1.101536,3.089528,-1.909145,-7.118066
1.112001,3.965239,-1.928898,-6.358927
1.122339,4.959018,-1.922164,-6.191627
1.132303,5.443711,-1.657894,-7.587646
1.163052,3.765765,-3.108084,-10.356489
1.172236,2.240604,-3.309653,-10.393301
1.182312,2.257962,-2.90457,-9.830045
1.19233,1.83986,-3.623305,-9.541833
1.202298,1.27002,-5.616249,-10.451812
1.216061,-3.54549,-5.58677,-8.920366
1.232089,-3.949526,-4.366731,-10.563445
1.241627,-3.426225,-4.210504,-11.02255
1.252291,-1.399311,-4.937469,-12.311275
1.262251,-1.963315,-3.013061,-12.137689
1.272303,-4.66467,-2.487664,-7.917608
1.298922,6.875944,-3.008123,-14.912369
1.312036,7.182562,-4.138525,-10.267302
1.322255,3.574521,-3.824724,-6.728246
1.332246,1.917974,-0.536769,-6.50034
1.341584,2.487066,-0.223118,-6.45859
1.367585,2.952605,-0.285219,-8.238892
1.371635,1.566762,0.402091,-8.371026
1.382233,0.155479,1.857069,-8.605367
1.391538,1.072341,1.8439,-9.675464
1.40221,2.037838,0.813758,-8.52052
1.412008,2.781264,0.442045,-7.938109
1.422115,3.415151,0.63688,-8.399908
1.432254,3.758283,0.515819,-9.366152
1.441517,4.808776,0.387875,-9.884964
1.451742,6.878188,0.881996,-8.630208
1.462243,2.043374,-4.521761,-9.75687
1.47233,1.782547,-4.633395,-10.376092
1.482246,1.271217,-4.76119,-9.613063
1.492225,0.664714,-4.595685,-9.705243
1.502343,1.314015,-3.980353,-10.594571
1.511565,4.465794,-5.635553,-10.325363
1.522056,9.002969,-7.587945,-13.262405
1.532289,7.317989,-5.252318,-15.893577
1.541564,2.889905,-1.704134,-11.007735
1.552287,-0.118816,-0.153833,-12.175998
1.590676,3.924087,0.232994,-13.39888
1.602228,-0.863739,-0.262623,-4.816258
1.611469,-0.366476,0.832464,-9.178949
1.62157,-0.879901,2.450553,-10.866622
1.632134,-1.237846,1.78539,-9.890501
1.641547,-0.929432,1.875325,-10.025629
1.652272,-0.115075,1.883107,-9.194811
1.662277,1.171854,0.792659,-9.149319
1.672427,2.081982,-0.305122,-10.05002
1.682324,2.624887,-0.657531,-10.126488
1.692298,4.094081,-1.917674,-7.851915
1.706938,3.724763,-1.328081,-13.75937
1.722226,2.885415,-2.520137,-16.084671
1.732356,2.164885,-3.660416,-12.214157
1.741582,2.484671,-3.812154,-10.395696
1.752311,5.418571,-3.659069,-7.125399
1.762245,3.244858,-1.918123,-8.865896
1.785498,1.344542,-1.58846,-10.446724
1.792,-0.007781,-0.219077,-11.433918
1.802224,-2.210825,-0.302428,-11.00983
1.811421,-1.515883,-0.784129,-10.321772
1.822201,-0.559216,-0.910577,-9.955895
1.832228,0.164757,-1.508999,-8.344989
1.843653,0.499508,-1.867095,-7.901148
1.852305,-0.350314,-1.967655,-8.745134
1.861343,-0.026636,-2.815083,-10.849263
1.872244,0.418252,-4.162767,-11.857258
1.88231,1.386891,-3.171383,-11.220527
1.892278,0.594681,-1.839112,-9.353283
1.902148,0.436508,-1.269571,-9.171766
1.919195,-0.266215,-1.24892,-8.979475
1.931824,0.247659,-1.740198,-10.570478
1.941568,0.324426,-1.511843,-11.258986
1.952315,0.02095,-1.459168,-11.808774
1.962285,0.486938,-2.50607,-11.159772
1.972285,0.632541,-2.114754,-10.531122
1.989528,0.107444,0.858651,-7.806573
2.002041,0.431271,0.420646,-8.34035
2.011779,-0.157275,-0.47796,-10.003481
2.022284,-0.2303,-1.079375,-11.074177
2.031533,0.236286,-3.652485,-11.34533
2.041583,1.369682,-5.164477,-11.405336
2.06523,0.725768,-2.323805,-9.42137
2.082332,0.160118,-1.788233,-8.201032
2.09228,-0.131536,-1.788084,-9.105324
2.102333,0.021848,-1.867544,-9.12388
2.112139,0.623861,-1.275556,-9.817026
2.131051,0.583458,-1.671811,-9.058037
2.141586,0.912972,-1.745585,-9.461026
2.152394,0.355552,-1.659989,-8.358606
2.162285,0.851468,-1.528004,-9.267837
2.172377,-0.095771,-2.048013,-10.264608
2.182305,0.405233,-2.260806,-10.112721
2.201167,1.200286,-1.689768,-10.462586
2.212475,0.533327,-1.208068,-9.229678
2.222283,0.101757,-1.983517,-9.095897
2.232276,0.269357,-1.959724,-9.98747
2.241571,0.110137,-1.755312,-11.302981
2.251855,0.024242,-2.200948,-10.619561
2.271957,0.618175,-2.052203,-9.919382
2.282296,0.319637,-1.348433,-7.410468
2.292282,1.222284,-0.384433,-8.413076
2.302279,0.397751,-1.72673,-10.236924
2.312045,0.662619,-1.955235,-10.731494
2.322284,0.392513,-1.660438,-10.817389
2.342828,0.315447,-2.009106,-9.416731
2.352255,0.212044,-1.817863,-8.760098
2.362252,0.372611,-1.320599,-8.095234
2.371932,0.71649,-1.86096,-9.411943
2.38195,0.454166,-1.11469,-10.537108
2.392235,0.315747,-1.411732,-10.341674
2.411196,-0.036064,-1.262687,-8.962864
2.42152,-0.095173,-1.623776,-8.237096
2.432451,0.581512,-1.515284,-8.354566
2.441567,0.47781,-1.240241,-8.175593
2.452279,0.017957,-1.127111,-10.065134
2.461705,1.248621,-1.840908,-10.993669
2.483272,1.091496,-1.588909,-11.01402
2.491703,0.597375,-1.279447,-9.927762
2.502248,0.497563,-0.936765,-9.314076
2.512088,0.470178,-1.650861,-9.633863
2.522278,0.902646,-1.905703,-10.061094
2.532299,0.093377,-1.534289,-9.69791
2.551929,0.224165,-1.765637,-10.054659
2.561659,0.467185,-1.799008,-9.519536
2.571353,1.177091,-1.875325,-9.356575
2.582319,0.424238,-1.122921,-8.679141
2.591818,0.958463,-0.59094,-8.637241
2.602371,0.913421,-2.145581,-10.719074
2.625146,0.47377,-1.90256,-9.606628
2.631968,0.086194,-0.856556,-8.870984
2.641562,0.899354,-1.579332,-9.481826
2.652284,0.478409,-1.834174,-9.45923
2.662281,0.481102,-1.315062,-9.691476
2.672314,-0.202617,-1.297255,-8.825941
2.696126,-0.896361,-2.156953,-10.934859
2.701585,0.417354,-2.021227,-10.566737
2.711993,-0.259182,-2.120141,-10.633029
2.722233,0.810915,-1.079225,-9.398625
2.732275,0.174783,-1.245029,-9.196906
2.741554,0.577622,-1.210911,-9.810592
2.763902,0.558019,-1.231262,-10.489372
2.772129,0.287314,-1.447347,-10.771
2.782245,0.622964,-1.581726,-10.523191
2.792287,0.556223,-1.498824,-9.942427
2.802281,0.443392,-1.9488,-9.152312
2.812114,0.439801,-1.242186,-9.040379
2.833381,-0.193189,-0.898007,-9.847703
2.841548,0.547394,-1.339753,-10.159858
2.852301,0.208752,-1.629312,-10.505982
2.862258,1.054235,-2.017037,-9.518638
2.872282,0.65798,-0.893368,-7.704217
2.88233,0.724122,-1.202531,-8.049144
2.908583,0.40239,-1.773718,-9.795478
2.922186,0.812112,-1.083565,-10.17572
2.932069,0.651695,-1.810231,-10.37714
2.941522,-0.076767,-1.138334,-10.273587
2.952141,0.316196,-1.443905,-9.589569
2.983648,0.647505,-1.306533,-10.6664
3.00169,-0.835307,-1.414425,-9.431995
3.011987,0.148446,-1.455427,-9.796974
3.02239,0.366625,-1.785091,-10.345116
3.050699,0.668605,-1.72254,-10.846719
3.062238,0.353906,-1.740647,-9.160243
3.071804,0.02514,-1.539826,-8.60417
3.08228,0.22222,-1.02281,-7.821538
3.092366,0.079011,-1.154495,-9.814632
3.116817,0.943648,-1.149707,-11.065348
3.121732,0.600368,-2.243148,-10.831905
3.132063,0.432468,-1.384646,-9.713773
3.141558,-0.211894,-1.343195,-8.816813
3.152232,-0.462097,-1.529052,-7.889027
3.162243,0.638078,-1.36639,-8.514833
3.181654,0.585702,-0.942302,-11.35356
3.192134,1.163923,-1.590854,-11.771812
3.202247,0.763778,-2.241352,-10.637668
3.212009,0.45252,-2.273675,-8.993541
3.22223,-0.180619,-0.837851,-6.612423
3.232223,-0.194386,-1.034931,-6.417438
3.25597,0.998118,-1.749326,-11.995977
3.261847,0.366775,-1.444803,-11.461453
3.272199,0.23898,-1.404549,-11.589846
3.282232,0.568045,-1.404998,-10.315038
3.292234,-0.053123,-1.22393,-10.027574
3.302233,1.566462,-2.505173,-9.075246
3.321111,1.167215,-1.498375,-9.272924
3.332049,-0.797447,-0.715293,-7.641367
3.341551,0.949484,-0.36483,-10.839237
3.352229,-0.122857,-1.959425,-11.645364
3.361711,0.123455,-1.810081,-11.576827
3.372236,0.671298,-2.245841,-9.694918
3.394403,-0.073624,-1.233058,-7.759436
3.412044,0.169845,-1.478023,-9.379021
3.421424,-0.545748,-1.418017,-9.588073
3.432235,1.013382,-1.250267,-11.717941
3.441615,0.18002,-1.32419,-10.239019
3.469373,0.735495,-1.541322,-9.633414
3.481376,0.42738,-1.815768,-8.772219
3.492279,-0.050879,-1.753217,-9.59346
3.502227,0.017957,-1.766984,-10.133521
3.511989,0.512527,-0.98076,-9.408351
3.537308,0.31859,-1.158536,-11.22771
3.541475,0.051926,-1.854226,-10.75424
3.552216,0.014216,-2.241651,-10.901938
3.561788,0.334003,-1.974988,-9.447707
3.571513,-0.145902,-1.560926,-8.084909
3.581806,-0.193488,-1.81487,-9.514747
3.595369,0.178524,-1.210163,-10.148635
3.601913,0.175082,-1.20298,-10.91331
3.611554,1.510047,-0.906687,-11.130592
3.622214,1.404698,-1.436722,-11.606906
3.632205,0.150391,-2.354033,-9.792335
3.641494,-0.58675,-1.300846,-7.87915
3.652177,-0.623113,-1.431784,-6.376136
3.66544,0.168498,-1.221535,-8.450487
3.671894,0.397152,-2.466415,-9.600194
3.682228,0.719184,-1.309825,-9.986871
3.692198,0.816003,-0.748364,-9.698808
3.701689,0.92629,-0.676685,-9.831841
3.71195,1.157189,-1.460665,-10.42308
3.722195,0.139168,-1.61345,-10.302767
3.742463,0.094574,-1.291568,-8.774763
3.75229,-0.000599,-1.371328,-9.271428
3.7622,0.610992,-1.613001,-9.686089
3.772197,0.340288,-1.541023,-9.317817
3.782192,1.184873,-1.482662,-10.571825
3.792223,1.064261,-1.037475,-10.610583
3.817761,0.560114,-1.927102,-10.3098
3.832248,0.20531,-1.480717,-9.049059
3.841605,-0.253046,-1.123819,-8.600279
3.852226,0.445786,-1.202381,-10.755886
3.862256,0.224315,-2.242549,-9.865211
3.887538,0.714246,-0.174035,-9.287889
3.891896,1.139082,-1.725234,-10.352149
3.911951,0.54051,-2.084526,-9.908009
3.922227,0.056415,-1.267326,-8.96451
3.93222,-0.194835,-0.659776,-8.225873
3.955072,0.784129,-1.792872,-10.655775
3.961946,1.077429,-1.006199,-10.533666
3.971272,0.566399,-0.516567,-9.908159
3.982193,0.732502,-1.072491,-9.847104
3.992197,0.294497,-1.733314,-9.955296
4.002034,0.044145,-1.866347,-9.280856
4.020595,0.077814,-1.273013,-9.292378
4.032074,-0.458656,-1.00186,-10.61582
4.041519,0.782932,-1.598785,-11.828078
4.052275,0.827974,-2.182692,-10.332995
4.062228,0.395955,-0.699281,-12.200539
4.072249,1.459917,-1.62617,-10.935907
4.099299,0.49038,-1.502266,-8.788381
4.111983,0.019753,-1.42909,-9.111609
4.122231,0.189747,-1.016525,-8.993541
4.132293,-0.080508,-1.263735,-9.535697
4.141585,1.007097,-0.931378,-10.579457
4.166484,0.278934,-0.597524,-10.218219
4.181931,-0.257835,-1.19864,-9.065819
4.192234,0.753003,-1.65954,-10.645001
4.202213,-0.299585,-2.502928,-9.60573
4.211955,0.61623,-1.259545,-8.315509
4.235885,0.59932,-0.916264,-9.912947
4.252197,0.699281,-1.50032,-10.513764
4.261573,0.880499,-1.610457,-10.254133
4.272195,0.259182,-1.325088,-9.720806
4.282197,-0.020651,-0.865535,-8.507501
4.300972,-0.312006,-0.454466,-9.463719
4.312036,0.479755,-2.043225,-12.508804
4.322199,0.376801,-1.919171,-11.105602
4.332195,0.499359,-0.862841,-10.857045
4.34149,-0.312903,-1.319252,-8.78015
4.352191,0.211146,-1.249519,-8.121572
4.378083,0.325024,-0.853264,-8.743338
4.381688,1.37866,-0.541109,-9.846955
4.392195,0.915815,-0.872718,-10.33913
4.402198,0.529437,-1.227072,-11.921006
4.412057,1.113194,-1.429838,-10.436997
4.42141,0.137522,-0.95143,-9.340413
4.455164,-0.256638,-1.339304,-7.416454
4.461589,0.530634,-0.253944,-9.773031
4.471701,0.613087,-1.456176,-9.922973
4.482225,1.201334,-0.824233,-11.067742
4.492222,0.707362,-2.028709,-11.064151
4.520103,1.114541,-1.335563,-5.577492
4.531419,-0.209949,-0.798794,-9.543928
4.541479,1.683034,-1.276305,-9.874788
4.55219,0.072726,-0.953525,-10.470966
4.561414,0.252597,-1.706379,-11.368075
4.588126,1.084462,-0.835307,-7.616527
4.602195,0.082453,-1.38734,-7.664412
4.611986,0.545149,-0.833362,-10.589034
4.622191,0.04205,-0.782932,-12.066459
4.63196,0.101608,-1.264782,-11.626808
4.655575,-0.076168,-1.03508,-8.339003
4.672178,1.089251,-0.676386,-7.661719
4.682201,0.487686,-1.073987,-8.619583
4.69219,0.359143,-1.304587,-10.081296
4.702228,0.400295,-1.03508,-10.256977
4.726445,0.139318,-1.00994,-10.142799
4.741473,0.944097,-1.393625,-10.13397
4.752187,0.394608,-1.401705,-10.525885
4.762208,0.156975,-0.916264,-9.408501
4.772192,0.279383,-1.533242,-9.814782
4.794344,0.41511,-1.537731,-11.573984
4.802037,0.007482,-1.044957,-9.377226
4.811972,0.226709,-1.166018,-9.925218
4.822197,0.728761,-2.357924,-8.724333
4.832196,0.333704,-0.400295,-6.514556
4.841542,-0.248108,-0.722327,-5.609815
4.86758,0.362435,-1.562871,-9.892147
4.871571,1.409038,-1.342297,-11.129245
4.882232,0.972978,-1.175745,-10.380582
4.891259,1.352174,-0.461499,-11.174886
4.902213,0.242721,-1.721792,-11.232948
4.911957,0.447432,-1.993843,-9.238956
4.934743,0.645111,-1.2784,-9.333979
4.941529,0.428727,-0.700778,-10.709347
4.952207,0.524199,-1.993244,-12.417521
4.962194,1.158386,-1.929347,-12.421262
4.972191,0.235089,-1.116636,-11.2111
4.982247,0.08814,-1.119479,-10.35185
5.011453,0.056116,-2.04517,-11.167255
5.021208,0.839497,-1.369682,-10.712639
5.03221,0.558467,-1.429838,-10.232285
5.041474,-0.131237,-1.426995,-10.492664
5.052189,0.728462,-0.779191,-9.579693
5.079817,-0.11298,-1.738851,-8.731367
5.091582,0.063,-1.666125,-8.974686
5.102204,0.237184,-1.127709,-7.61099
5.111941,0.526145,-0.783979,-7.864485
5.121301,0.244367,-1.124417,-10.031016
5.149234,0.524499,-1.796913,-11.29071
5.161579,0.224764,-1.428192,-10.751696
5.171777,0.232844,-2.01988,-9.344454
5.182191,0.274445,-0.866582,-7.897855
5.192187,0.559814,-1.300248,-8.815616
5.220145,0.363183,-0.755697,-8.945506
5.221365,1.077729,-0.785775,-9.760312
5.232195,0.863589,-1.062315,-10.482339
5.241524,0.71245,-1.862606,-10.018745
5.252263,0.251251,-1.430437,-9.988068
5.26227,0.368421,-1.275257,-8.13893
5.287521,0.626555,-1.633652,-9.323953
5.291341,-0.023494,-1.261191,-10.103144
5.302211,0.443841,-0.911475,-10.798534
5.311944,1.520223,-0.936017,-11.116376
5.322237,0.816302,-1.481316,-10.618364
5.332238,0.80463,-1.722091,-10.258623
5.35749,0.063449,-1.104964,-8.486252
5.372241,0.283424,-1.504809,-10.457797
5.382194,0.785625,-1.044358,-11.308368
5.39223,0.932126,-0.910428,-11.628454
5.402238,0.938411,-1.468297,-10.704708
5.425522,0.056415,-1.312219,-7.739982
5.431715,-0.170294,-0.651396,-8.003503
5.441456,0.362735,-0.898606,-9.683096
5.452135,1.136987,-0.941553,-10.606243
5.462248,0.982556,-0.978216,-10.954163
5.47227,0.445786,-0.837252,-11.503353
5.495945,0.718286,-1.637393,-9.512503
5.511935,0.310359,-1.141027,-9.620695
5.522162,0.501603,-1.042413,-10.489522
5.532243,0.584954,-1.099127,-10.069175
5.541473,1.142374,-1.024456,-9.755673
5.564252,0.14261,-0.460451,-8.1937
5.582211,-0.179572,-0.744773,-8.878615
5.592204,0.122857,-0.904741,-9.868054
5.602212,0.173436,-0.955021,-10.512267
5.611955,0.39401,-0.670999,-10.835795
5.639256,0.261277,-0.922848,-10.310998
5.642997,0.650648,-1.28244,-9.975498
5.651632,-0.327568,-0.74178,-8.754412
5.662249,-0.023344,-1.565565,-9.545424
5.672244,0.49861,-0.558767,-9.838874
5.682281,0.509684,-0.977617,-9.188825
5.707543,0.251101,-1.000513,-8.954933
5.7113,0.723224,-0.630146,-9.591664
5.7221,0.14665,-0.552033,-9.294473
5.731609,-0.04175,-0.360041,-9.785751
5.74146,-0.175382,-1.676749,-9.857131
5.752228,0.275193,-1.130253,-11.154984
5.781164,-0.077515,-0.746269,-9.329041
5.792156,0.505644,-1.229766,-9.16159
5.801462,0.096969,-1.188315,-9.46342
5.811971,1.255953,-0.317393,-9.336373
5.822246,0.45252,-0.240776,-9.98732
5.84679,0.434563,-0.446535,-10.010963
5.862233,0.983753,-0.041451,-9.936142
5.872236,0.015413,-0.566249,-9.851893
5.882245,0.940955,-1.01443,-10.663257
5.892212,0.411668,-0.802385,-9.294623
5.917253,0.023943,0.125999,-9.580441
5.93219,0.313652,0.025739,-9.819869
5.941462,-0.340288,-0.169396,-11.166357
